M,type,N1,N2,N3
628,TRIA,346,345,424
629,TRIA,346,424,417
630,TRIA,345,352,422
631,TRIA,345,422,424
632,TRIA,408,364,425
633,TRIA,364,363,425
634,TRIA,363,426,425
635,TRIA,403,356,358
636,TRIA,402,427,369
637,TRIA,402,369,356
638,TRIA,427,428,368
639,TRIA,427,368,369
640,TRIA,428,429,367
641,TRIA,426,362,430
642,TRIA,362,366,430
643,TRIA,366,429,430
644,TRIA,366,367,429
645,TRIA,428,367,368
646,TRIA,370,359,401
647,TRIA,365,364,408
648,TRIA,362,426,363
649,TRIA,414,397,387
650,TRIA,414,387,386
651,TRIA,396,375,431
652,TRIA,375,374,431
653,TRIA,374,432,431
654,TRIA,372,400,376
655,TRIA,400,433,376
656,TRIA,433,432,373
657,TRIA,433,373,376
658,TRIA,374,373,432
659,TRIA,391,388,398
660,TRIA,391,398,404
661,TRIA,405,311,392
662,TRIA,400,434,435
663,TRIA,395,436,434
664,TRIA,400,395,434
665,TRIA,401,437,436
666,TRIA,395,401,436
667,TRIA,438,439,396
668,TRIA,438,396,431
669,TRIA,431,432,440
670,TRIA,433,400,435
671,TRIA,433,435,441
672,TRIA,432,433,441
673,TRIA,432,441,440
674,TRIA,431,440,438
675,TRIA,396,439,399
676,TRIA,439,442,399
677,TRIA,411,443,444
678,TRIA,445,443,410
679,TRIA,409,445,410
680,TRIA,443,411,410
681,TRIA,409,442,445
682,TRIA,409,399,442
683,TRIA,446,447,414
684,TRIA,446,414,413
685,TRIA,413,412,448
686,TRIA,412,411,444
687,TRIA,413,448,446
688,TRIA,412,444,448
689,TRIA,449,450,398
690,TRIA,449,398,397
691,TRIA,447,449,397
692,TRIA,447,397,414
693,TRIA,309,451,452
694,TRIA,310,309,452
695,TRIA,405,453,451
696,TRIA,309,405,451
697,TRIA,450,454,404
698,TRIA,450,404,398
699,TRIA,453,404,454
700,TRIA,453,405,404
701,TRIA,455,452,456
702,TRIA,452,455,310
703,TRIA,455,312,310
704,TRIA,455,307,312
705,TRIA,457,306,455
706,TRIA,456,457,455
707,TRIA,306,307,455
708,TRIA,457,322,308
709,TRIA,306,457,308
710,TRIA,403,458,459
711,TRIA,403,459,402
712,TRIA,394,460,458
713,TRIA,394,458,403
714,TRIA,393,461,460
715,TRIA,393,460,394
716,TRIA,462,419,418
717,TRIA,463,462,418
718,TRIA,464,420,419
719,TRIA,462,464,419
720,TRIA,465,420,464
721,TRIA,466,423,465
722,TRIA,423,420,465
723,TRIA,421,466,467
724,TRIA,422,421,467
725,TRIA,468,422,467
726,TRIA,421,423,466
727,TRIA,469,424,468
728,TRIA,424,422,468
729,TRIA,417,424,469
730,TRIA,470,417,469
731,TRIA,470,416,417
732,TRIA,471,416,470
733,TRIA,415,416,471
